Origin,Destination,N_flights,Flight_time,Wait_time,Total_time,Exec_time
UMMS,SKBO,2,1883,43,1926,1.678
UMMS,SKBO,1,1322,302,1624,2.321
UMMS,SKBO,2,1876,301,2177,1.231
UMMS,SKBO,2,1808,64,1872,1.536
UMMS,SKBO,1,1324,2,1326,1.066
UMMS,SKBO,2,1877,110,1987,1.066
UMMS,SKBO,2,1874,348,2222,1.433
UMMS,SKBO,2,1872,157,2029,1.941
UMMS,SKBO,2,1881,127,2008,1.330
UMMS,SKBO,1,1322,397,1719,1.785
UMMS,SKBO,1,1324,48,1372,1.842
UMMS,SKBO,1,1322,36,1358,2.036
UMMS,SKBO,2,1873,190,2063,2.139
UMMS,SKBO,1,1324,149,1473,1.622
UMMS,SKBO,2,1863,85,1948,1.046
UMMS,SKBO,2,1877,125,2002,2.198
UMMS,SKBO,2,1808,249,2057,2.224
UMMS,SKBO,1,1324,165,1489,1.186
UMMS,SKBO,2,1818,376,2194,0.912
UMMS,SKBO,2,1888,106,1994,1.383
UMMS,SKBO,2,1875,175,2050,2.002
UMMS,SKBO,2,1868,284,2152,1.045
UMMS,SKBO,2,1814,268,2082,2.110
UMMS,SKBO,2,1881,151,2032,0.989
UMMS,SKBO,1,1324,247,1571,1.109
UMMS,SKBO,2,1874,151,2025,1.268
UMMS,SKBO,1,1322,245,1567,2.153
UMMS,SKBO,2,1871,116,1987,1.503
UMMS,SKBO,2,1814,224,2038,2.755
UMMS,SKBO,1,1324,89,1413,2.090
UMMS,SKBO,2,1867,142,2009,2.280
UMMS,SKBO,1,1324,81,1405,2.217
UMMS,SKBO,2,1814,200,2014,2.673
UMMS,SKBO,1,1322,309,1631,1.710
UMMS,SKBO,2,1816,155,1971,2.116
UMMS,SKBO,2,1881,72,1953,1.581
UMMS,SKBO,2,1874,188,2062,1.280
UMMS,SKBO,2,1808,147,1955,1.473
UMMS,SKBO,2,1808,162,1970,1.074
UMMS,SKBO,1,1322,512,1834,1.076
UMMS,SKBO,2,1876,192,2068,2.061
UMMS,SKBO,2,1814,223,2037,1.535
UMMS,SKBO,2,1863,159,2022,0.914
UMMS,SKBO,2,1873,179,2052,1.344
UMMS,SKBO,1,1322,310,1632,1.247
UMMS,SKBO,1,1322,476,1798,1.706
UMMS,SKBO,1,1324,79,1403,1.062
UMMS,SKBO,2,1876,289,2165,1.203
UMMS,SKBO,1,1324,304,1628,1.069
UMMS,SKBO,1,1324,646,1970,1.485
UMMS,SKBO,1,1324,505,1829,1.580
UMMS,SKBO,1,1322,514,1836,1.442
UMMS,SKBO,2,1871,112,1983,2.135
UMMS,SKBO,2,1874,113,1987,1.065
UMMS,SKBO,2,1868,178,2046,0.862
UMMS,SKBO,2,1867,170,2037,1.252
UMMS,SKBO,1,1322,238,1560,2.063
UMMS,SKBO,1,1322,241,1563,1.157
UMMS,SKBO,2,1876,126,2002,1.595
UMMS,SKBO,1,1322,369,1691,1.657
UMMS,SKBO,2,1876,181,2057,1.530
UMMS,SKBO,1,1324,437,1761,1.539
UMMS,SKBO,2,1881,238,2119,1.153
UMMS,SKBO,1,1322,268,1590,1.097
UMMS,SKBO,2,1870,103,1973,1.226
UMMS,SKBO,2,1876,180,2056,1.165
UMMS,SKBO,2,1877,199,2076,1.132
UMMS,SKBO,2,1876,313,2189,2.219
UMMS,SKBO,1,1324,557,1881,1.443
UMMS,SKBO,2,1872,237,2109,1.137
UMMS,SKBO,2,1877,312,2189,1.739
UMMS,SKBO,1,1324,381,1705,1.288
UMMS,SKBO,2,1808,283,2091,1.163
UMMS,SKBO,2,1867,258,2125,2.187
UMMS,SKBO,1,1322,578,1900,0.978
UMMS,SKBO,1,1322,643,1965,0.854
UMMS,SKBO,1,1324,146,1470,1.729
UMMS,SKBO,2,1814,212,2026,1.067
UMMS,SKBO,2,1881,199,2080,0.983
UMMS,SKBO,2,1814,193,2007,1.377
UMMS,SKBO,2,1877,162,2039,0.924
UMMS,SKBO,1,1324,480,1804,1.046
UMMS,SKBO,2,1816,174,1990,1.669
UMMS,SKBO,2,1814,215,2029,1.283
UMMS,SKBO,2,1870,179,2049,1.096
UMMS,SKBO,2,1874,143,2017,1.524
UMMS,SKBO,1,1322,259,1581,1.121
UMMS,SKBO,2,1888,73,1961,0.968
UMMS,SKBO,2,1874,149,2023,2.233
UMMS,SKBO,2,1875,229,2104,1.550
UMMS,SKBO,2,1803,119,1922,1.073
UMMS,SKBO,2,1870,87,1957,0.858
UMMS,SKBO,1,1324,144,1468,0.945
UMMS,SKBO,2,1870,340,2210,1.296
UMMS,SKBO,2,1888,66,1954,0.893
UMMS,SKBO,2,1888,294,2182,1.099
UMMS,SKBO,2,1877,154,2031,1.767
UMMS,SKBO,1,1324,222,1546,1.553
UMMS,SKBO,1,1322,528,1850,1.153
UMMS,SKBO,1,1322,82,1404,1.030
UMMS,SKBO,2,1816,168,1984,1.444
UMMS,SKBO,2,1882,392,2274,1.937
UMMS,SKBO,2,1871,380,2251,1.071
UMMS,SKBO,1,1322,537,1859,2.034
UMMS,SKBO,2,1881,72,1953,2.020
UMMS,SKBO,1,1322,420,1742,2.384
UMMS,SKBO,2,1872,103,1975,2.065
UMMS,SKBO,2,1870,180,2050,1.788
UMMS,SKBO,2,1870,76,1946,1.079
UMMS,SKBO,2,1876,184,2060,1.377
UMMS,SKBO,1,1324,415,1739,1.213
UMMS,SKBO,2,1758,434,2192,1.199
UMMS,SKBO,2,1865,111,1976,1.041
UMMS,SKBO,2,1816,197,2013,1.439
UMMS,SKBO,2,1814,115,1929,1.217
UMMS,SKBO,1,1324,636,1960,1.140
UMMS,SKBO,2,1881,258,2139,1.662
UMMS,SKBO,1,1322,535,1857,1.045
UMMS,SKBO,1,1322,684,2006,1.052
UMMS,SKBO,2,1881,216,2097,1.423
UMMS,SKBO,1,1324,63,1387,1.664
UMMS,SKBO,2,1863,135,1998,1.080
UMMS,SKBO,1,1322,4,1326,0.869
UMMS,SKBO,2,1883,42,1925,0.819
UMMS,SKBO,1,1324,549,1873,1.264
UMMS,SKBO,1,1324,38,1362,1.199
UMMS,SKBO,2,1881,253,2134,1.058
UMMS,SKBO,1,1324,1,1325,1.507
UMMS,SKBO,2,1758,481,2239,1.586
UMMS,SKBO,2,1870,403,2273,0.875
UMMS,SKBO,1,1324,686,2010,1.454
UMMS,SKBO,2,1870,150,2020,1.525
UMMS,SKBO,1,1324,223,1547,1.183
UMMS,SKBO,2,1863,147,2010,1.065
UMMS,SKBO,2,1881,227,2108,0.879
UMMS,SKBO,2,1874,254,2128,1.448
UMMS,SKBO,2,1876,205,2081,1.784
UMMS,SKBO,2,1863,93,1956,0.872
UMMS,SKBO,2,1881,145,2026,1.927
UMMS,SKBO,1,1322,266,1588,1.195
