Origin,Destination,N_flights,Flight_time,Wait_time,Total_time,Exec_time
LDZA,ESKN,2,1154,56,1210,0.441
LDZA,ESKN,2,1158,142,1300,0.439
LDZA,ESKN,2,1159,328,1487,0.816
LDZA,ESKN,1,608,515,1123,0.719
LDZA,ESKN,1,604,432,1036,0.460
LDZA,ESKN,1,608,274,882,0.461
LDZA,ESKN,1,608,751,1359,0.499
LDZA,ESKN,2,1151,114,1265,0.716
LDZA,ESKN,2,1092,81,1173,0.436
LDZA,ESKN,1,608,236,844,0.443
LDZA,ESKN,1,608,12,620,0.468
LDZA,ESKN,2,1151,280,1431,0.437
LDZA,ESKN,2,1267,131,1398,0.515
LDZA,ESKN,2,1150,386,1536,0.465
LDZA,ESKN,1,604,603,1207,0.770
LDZA,ESKN,2,1091,409,1500,0.668
LDZA,ESKN,2,1150,54,1204,0.451
LDZA,ESKN,1,604,248,852,0.448
LDZA,ESKN,1,608,158,766,0.462
LDZA,ESKN,1,608,619,1227,0.458
LDZA,ESKN,1,608,242,850,0.416
LDZA,ESKN,2,1158,281,1439,0.473
LDZA,ESKN,2,1151,324,1475,0.530
LDZA,ESKN,2,1150,150,1300,0.499
LDZA,ESKN,1,608,735,1343,0.529
LDZA,ESKN,2,1158,289,1447,0.416
LDZA,ESKN,1,608,649,1257,0.865
LDZA,ESKN,2,1092,280,1372,0.605
LDZA,ESKN,2,1091,335,1426,0.467
LDZA,ESKN,2,1157,296,1453,0.777
LDZA,ESKN,2,1150,104,1254,0.486
LDZA,ESKN,2,1150,312,1462,0.750
LDZA,ESKN,1,608,138,746,0.495
LDZA,ESKN,2,1147,266,1413,0.474
LDZA,ESKN,2,1150,421,1571,0.642
LDZA,ESKN,2,1150,449,1599,0.638
LDZA,ESKN,2,1144,295,1439,0.912
LDZA,ESKN,2,1158,130,1288,0.946
LDZA,ESKN,1,608,622,1230,0.785
LDZA,ESKN,2,1154,169,1323,0.767
LDZA,ESKN,2,1105,373,1478,0.828
LDZA,ESKN,2,1092,310,1402,0.779
LDZA,ESKN,1,608,69,677,0.755
LDZA,ESKN,1,604,344,948,0.822
LDZA,ESKN,2,1144,191,1335,0.513
LDZA,ESKN,2,1147,61,1208,0.552
LDZA,ESKN,2,1150,93,1243,0.524
LDZA,ESKN,1,608,789,1397,0.518
LDZA,ESKN,2,1092,236,1328,0.490
LDZA,ESKN,2,1092,164,1256,0.884
LDZA,ESKN,2,1154,248,1402,0.622
LDZA,ESKN,2,1157,322,1479,0.497
LDZA,ESKN,1,604,254,858,0.469
LDZA,ESKN,1,608,24,632,0.673
LDZA,ESKN,2,1152,449,1601,0.524
LDZA,ESKN,2,1150,93,1243,0.472
LDZA,ESKN,2,1144,38,1182,0.608
LDZA,ESKN,1,604,114,718,0.456
LDZA,ESKN,2,1150,105,1255,0.454
LDZA,ESKN,1,608,518,1126,0.463
LDZA,ESKN,2,1153,236,1389,0.435
LDZA,ESKN,2,1157,93,1250,0.447
LDZA,ESKN,2,1150,247,1397,0.430
LDZA,ESKN,2,1156,365,1521,0.815
LDZA,ESKN,2,1166,102,1268,0.449
LDZA,ESKN,1,604,518,1122,0.615
LDZA,ESKN,1,608,224,832,0.556
LDZA,ESKN,2,1092,216,1308,0.748
LDZA,ESKN,2,1157,97,1254,0.604
LDZA,ESKN,2,1147,41,1188,0.460
LDZA,ESKN,2,1151,370,1521,0.523
LDZA,ESKN,1,608,739,1347,0.524
LDZA,ESKN,2,1163,341,1504,0.558
LDZA,ESKN,2,1155,257,1412,0.446
LDZA,ESKN,2,1155,181,1336,0.453
LDZA,ESKN,1,604,104,708,0.491
LDZA,ESKN,2,1151,251,1402,0.794
LDZA,ESKN,2,1092,225,1317,0.611
LDZA,ESKN,2,1151,235,1386,0.685
LDZA,ESKN,1,608,618,1226,0.389
LDZA,ESKN,1,608,809,1417,0.659
LDZA,ESKN,2,1153,359,1512,0.496
LDZA,ESKN,1,608,707,1315,0.588
LDZA,ESKN,2,1144,42,1186,0.471
LDZA,ESKN,2,1151,129,1280,0.445
LDZA,ESKN,2,1152,473,1625,0.612
LDZA,ESKN,1,604,452,1056,0.416
LDZA,ESKN,1,604,148,752,0.566
LDZA,ESKN,2,1144,296,1440,0.486
LDZA,ESKN,1,608,129,737,0.456
LDZA,ESKN,1,608,794,1402,0.834
LDZA,ESKN,1,604,544,1148,0.803
LDZA,ESKN,1,608,112,720,0.564
LDZA,ESKN,1,608,583,1191,0.459
LDZA,ESKN,1,608,496,1104,0.466
LDZA,ESKN,1,604,707,1311,0.623
LDZA,ESKN,1,608,624,1232,0.453
LDZA,ESKN,1,608,433,1041,0.470
LDZA,ESKN,2,1158,120,1278,0.431
LDZA,ESKN,2,1154,184,1338,0.376
LDZA,ESKN,2,1267,77,1344,0.742
LDZA,ESKN,2,1092,112,1204,0.439
LDZA,ESKN,2,1166,225,1391,0.537
LDZA,ESKN,2,1092,351,1443,0.553
LDZA,ESKN,1,604,172,776,0.398
LDZA,ESKN,2,1144,250,1394,0.824
LDZA,ESKN,2,1092,259,1351,0.720
LDZA,ESKN,2,1147,52,1199,0.449
LDZA,ESKN,2,1158,155,1313,0.438
LDZA,ESKN,2,1151,250,1401,0.473
LDZA,ESKN,2,1150,311,1461,0.841
LDZA,ESKN,1,604,131,735,0.396
LDZA,ESKN,2,1147,104,1251,0.482
LDZA,ESKN,2,1157,272,1429,0.482
LDZA,ESKN,2,1166,218,1384,0.646
LDZA,ESKN,2,1147,20,1167,0.469
LDZA,ESKN,1,604,14,618,0.397
LDZA,ESKN,2,1154,251,1405,0.416
LDZA,ESKN,2,1092,161,1253,0.460
LDZA,ESKN,2,1150,182,1332,0.624
LDZA,ESKN,2,1267,147,1414,0.492
LDZA,ESKN,2,1144,292,1436,0.449
LDZA,ESKN,1,604,346,950,0.473
LDZA,ESKN,2,1158,291,1449,0.726
LDZA,ESKN,2,1092,228,1320,0.506
LDZA,ESKN,2,1144,131,1275,0.720
LDZA,ESKN,2,1158,178,1336,0.550
LDZA,ESKN,1,604,488,1092,0.858
LDZA,ESKN,1,608,31,639,0.532
LDZA,ESKN,2,1151,150,1301,0.829
LDZA,ESKN,2,1267,108,1375,0.792
LDZA,ESKN,1,608,148,756,0.525
LDZA,ESKN,2,1154,121,1275,0.508
LDZA,ESKN,2,1155,313,1468,0.465
LDZA,ESKN,2,1158,229,1387,0.506
LDZA,ESKN,2,1144,403,1547,0.438
LDZA,ESKN,2,1267,77,1344,0.857
LDZA,ESKN,1,608,554,1162,0.501
LDZA,ESKN,2,1150,362,1512,0.454
LDZA,ESKN,2,1144,146,1290,0.526
LDZA,ESKN,1,604,539,1143,0.590
LDZA,ESKN,2,1166,311,1477,0.465
LDZA,ESKN,2,1151,273,1424,0.478
LDZA,ESKN,2,1092,224,1316,0.483
LDZA,ESKN,2,1151,191,1342,0.450
LDZA,ESKN,2,1158,85,1243,0.528
LDZA,ESKN,1,608,203,811,0.511
LDZA,ESKN,2,1150,105,1255,0.605
LDZA,ESKN,1,604,575,1179,0.521
LDZA,ESKN,2,1154,143,1297,0.449
LDZA,ESKN,1,608,558,1166,0.417
LDZA,ESKN,2,1157,172,1329,0.647
LDZA,ESKN,2,1157,84,1241,0.547
LDZA,ESKN,2,1150,142,1292,0.587
LDZA,ESKN,2,1150,93,1243,0.739
LDZA,ESKN,2,1267,184,1451,0.789
LDZA,ESKN,2,1155,446,1601,0.617
