Origin,Destination,Total_time1,Total_time2,Exec_time1,Exec_time2
EDDI,LBSF,1287,1287,0.346,0.321
EDDI,LBSF,1253,1253,0.531,0.396
EDDI,LBSF,1253,1253,0.330,0.284
EDDI,LBSF,731,731,0.533,0.419
EDDI,LBSF,1542,1542,0.599,0.336
EDDI,LBSF,1490,1490,0.370,0.319
EDDI,LBSF,1296,1296,0.481,0.460
EDDI,LBSF,1445,1445,0.710,0.610
EDDI,LBSF,1420,1420,0.407,0.388
EDDI,LBSF,801,801,0.454,0.341
EDDI,LBSF,974,974,0.382,0.325
EDDI,LBSF,1588,1588,0.660,0.301
EDDI,LBSF,1013,1013,0.366,0.362
EDDI,LBSF,1596,1596,0.348,0.323
EDDI,LBSF,811,811,0.419,0.501
EDDI,LBSF,1334,1334,0.511,0.485
EDDI,LBSF,1120,1120,0.367,0.334
EDDI,LBSF,1099,1099,0.440,0.297
EDDI,LBSF,766,766,0.339,0.328
EDDI,LBSF,1454,1454,0.373,0.329
EDDI,LBSF,981,981,0.555,0.449
EDDI,LBSF,1272,1272,0.415,0.312
EDDI,LBSF,1260,1260,0.638,0.385
EDDI,LBSF,1449,1449,0.586,0.384
EDDI,LBSF,1363,1363,0.346,0.313
EDDI,LBSF,1137,1137,0.720,0.672
EDDI,LBSF,1232,1232,0.794,0.593
EDDI,LBSF,856,856,0.570,0.435
EDDI,LBSF,1299,1299,0.378,0.307
EDDI,LBSF,1398,1398,0.304,0.312
EDDI,LBSF,768,768,0.810,0.666
EDDI,LBSF,1056,1056,0.836,0.641
EDDI,LBSF,1458,1458,0.731,0.470
EDDI,LBSF,1336,1336,0.721,0.392
EDDI,LBSF,1450,1450,0.485,0.303
EDDI,LBSF,1263,1263,0.357,0.490
EDDI,LBSF,1272,1272,0.366,0.371
EDDI,LBSF,1491,1491,0.590,0.348
EDDI,LBSF,1286,1286,0.335,0.302
EDDI,LBSF,1406,1406,0.399,0.316
EDDI,LBSF,1402,1402,0.418,0.332
EDDI,LBSF,963,963,0.386,0.314
EDDI,LBSF,1620,1620,0.349,0.357
EDDI,LBSF,815,815,0.453,0.359
EDDI,LBSF,946,946,0.503,0.341
EDDI,LBSF,1427,1427,0.439,0.363
EDDI,LBSF,748,748,0.422,0.317
EDDI,LBSF,1441,1441,0.329,0.321
EDDI,LBSF,1283,1283,0.318,0.418
EDDI,LBSF,1116,1116,0.361,0.364
EDDI,LBSF,848,848,0.385,0.323
EDDI,LBSF,763,763,0.585,0.507
EDDI,LBSF,1357,1357,0.347,0.449
EDDI,LBSF,943,943,0.377,0.350
EDDI,LBSF,1523,1523,0.548,0.360
EDDI,LBSF,1451,1451,0.383,0.316
EDDI,LBSF,826,826,0.425,0.362
EDDI,LBSF,1284,1284,0.423,0.337
EDDI,LBSF,1050,1050,0.323,0.284
EDDI,LBSF,1076,1076,0.464,0.543
EDDI,LBSF,1435,1435,0.364,0.308
EDDI,LBSF,1419,1419,0.401,0.323
EDDI,LBSF,1388,1388,0.374,0.420
EDDI,LBSF,1516,1516,0.489,0.331
EDDI,LBSF,1295,1295,0.347,0.326
EDDI,LBSF,1510,1510,0.404,0.313
EDDI,LBSF,1285,1285,0.309,0.292
EDDI,LBSF,1266,1266,0.339,0.350
EDDI,LBSF,1269,1269,0.538,0.409
EDDI,LBSF,1322,1322,0.348,0.329
EDDI,LBSF,1348,1348,0.319,0.289
EDDI,LBSF,1185,1185,0.510,0.412
EDDI,LBSF,1586,1586,0.375,0.327
EDDI,LBSF,1370,1370,0.446,0.370
EDDI,LBSF,1457,1457,0.573,0.384
EDDI,LBSF,1143,1143,0.321,0.292
EDDI,LBSF,1319,1319,0.577,0.519
EDDI,LBSF,1189,1189,0.394,0.354
EDDI,LBSF,1532,1532,0.334,0.340
EDDI,LBSF,1519,1519,0.371,0.485
EDDI,LBSF,693,693,0.426,0.323
EDDI,LBSF,1653,1653,0.496,0.327
EDDI,LBSF,1069,1069,0.760,0.315
EDDI,LBSF,966,966,0.386,0.323
EDDI,LBSF,1350,1350,0.589,0.337
EDDI,LBSF,1010,1010,0.431,0.314
EDDI,LBSF,1572,1572,0.359,0.429
EDDI,LBSF,1074,1074,0.423,0.461
EDDI,LBSF,1532,1532,0.475,0.336
EDDI,LBSF,745,745,0.454,0.355
EDDI,LBSF,1268,1268,0.704,0.372
EDDI,LBSF,1404,1404,0.500,0.332
EDDI,LBSF,1625,1625,0.666,0.362
EDDI,LBSF,1347,1347,0.464,0.397
EDDI,LBSF,1232,1232,0.448,0.308
EDDI,LBSF,1419,1419,0.675,0.599
EDDI,LBSF,1400,1400,0.499,0.644
EDDI,LBSF,1091,1091,0.471,0.418
EDDI,LBSF,1196,1196,0.826,0.565
EDDI,LBSF,1379,1379,0.474,0.330
EDDI,LBSF,1186,1186,0.355,0.345
EDDI,LBSF,1491,1491,0.481,0.336
EDDI,LBSF,1554,1554,0.605,0.428
EDDI,LBSF,1325,1325,0.378,0.310
EDDI,LBSF,1484,1484,0.321,0.324
EDDI,LBSF,1396,1396,0.322,0.365
EDDI,LBSF,1433,1433,0.722,0.342
EDDI,LBSF,891,891,0.326,0.308
EDDI,LBSF,878,878,0.303,0.310
EDDI,LBSF,1288,1288,0.448,0.332
EDDI,LBSF,1026,1026,0.322,0.288
EDDI,LBSF,1315,1315,0.348,0.334
EDDI,LBSF,797,797,0.872,0.628
EDDI,LBSF,1335,1335,0.377,0.302
EDDI,LBSF,1396,1396,0.467,0.541
EDDI,LBSF,1363,1363,0.357,0.302
EDDI,LBSF,1416,1416,0.350,0.327
EDDI,LBSF,1285,1285,0.413,0.334
EDDI,LBSF,961,961,0.404,0.301
EDDI,LBSF,1249,1249,0.418,0.448
EDDI,LBSF,1394,1394,0.558,0.406
EDDI,LBSF,1062,1062,0.339,0.284
EDDI,LBSF,1477,1477,0.330,0.358
EDDI,LBSF,1441,1441,0.450,0.328
EDDI,LBSF,1355,1355,0.449,0.377
EDDI,LBSF,1287,1287,0.368,0.330
EDDI,LBSF,1509,1509,0.404,0.299
EDDI,LBSF,1552,1552,0.368,0.315
EDDI,LBSF,1190,1190,0.320,0.344
EDDI,LBSF,1417,1417,0.661,0.344
EDDI,LBSF,1463,1463,0.436,0.304
EDDI,LBSF,1031,1031,0.419,0.400
EDDI,LBSF,1312,1312,0.421,0.299
EDDI,LBSF,1510,1510,0.316,0.299
EDDI,LBSF,1283,1283,0.381,0.353
EDDI,LBSF,1372,1372,0.470,0.332
EDDI,LBSF,1248,1248,0.476,0.372
EDDI,LBSF,1330,1330,0.383,0.311
EDDI,LBSF,827,827,0.405,0.304
EDDI,LBSF,1704,1704,0.336,0.317
EDDI,LBSF,1375,1375,0.410,0.386
EDDI,LBSF,694,694,0.387,0.321
EDDI,LBSF,1434,1434,0.337,0.349
EDDI,LBSF,1333,1333,0.484,0.380
EDDI,LBSF,1053,1053,0.426,0.322
EDDI,LBSF,1109,1109,0.284,0.272
EDDI,LBSF,1321,1321,0.546,0.420
EDDI,LBSF,1740,1740,0.580,0.366
EDDI,LBSF,1317,1317,0.358,0.297
EDDI,LBSF,1079,1079,0.661,0.346
EDDI,LBSF,744,744,0.409,0.327
EDDI,LBSF,728,728,0.553,0.331
EDDI,LBSF,1418,1418,0.564,0.341
EDDI,LBSF,1636,1636,0.814,0.422
EDDI,LBSF,1438,1438,0.468,0.319
EDDI,LBSF,1481,1481,0.676,0.420
EDDI,LBSF,1458,1458,0.446,0.314
EDDI,LBSF,1382,1382,0.467,0.343
EDDI,LBSF,823,823,0.465,0.328
EDDI,LBSF,926,926,0.618,0.499
EDDI,LBSF,1384,1384,0.738,0.638
EDDI,LBSF,1244,1244,0.493,0.346
EDDI,LBSF,892,892,0.483,0.553
EDDI,LBSF,1484,1484,0.456,0.300
EDDI,LBSF,1005,1005,0.426,0.313
EDDI,LBSF,1367,1367,0.412,0.318
EDDI,LBSF,1406,1406,0.322,0.308
EDDI,LBSF,1439,1439,0.323,0.314
EDDI,LBSF,1549,1549,0.488,0.318
EDDI,LBSF,949,949,0.350,0.288
EDDI,LBSF,1110,1110,0.340,0.376
EDDI,LBSF,1230,1230,0.761,0.504
EDDI,LBSF,1538,1538,0.355,0.308
EDDI,LBSF,1598,1598,0.471,0.370
EDDI,LBSF,1353,1353,0.385,0.303
EDDI,LBSF,1459,1459,0.354,0.326
EDDI,LBSF,1429,1429,0.418,0.534
EDDI,LBSF,1518,1518,0.529,0.331
EDDI,LBSF,1217,1217,0.510,0.330
EDDI,LBSF,1319,1319,0.441,0.471
EDDI,LBSF,1411,1411,0.421,0.306
EDDI,LBSF,1470,1470,0.347,0.324
EDDI,LBSF,770,770,0.431,0.333
EDDI,LBSF,1279,1279,0.642,0.514
EDDI,LBSF,1578,1578,0.791,0.521
EDDI,LBSF,1358,1358,0.829,0.577
EDDI,LBSF,1322,1322,0.711,0.472
EDDI,LBSF,1378,1378,0.732,0.485
EDDI,LBSF,1442,1442,0.716,0.331
EDDI,LBSF,1551,1551,0.543,0.546
EDDI,LBSF,1575,1575,0.514,0.390
EDDI,LBSF,1512,1512,0.589,0.358
EDDI,LBSF,1372,1372,0.721,0.415
EDDI,LBSF,1205,1205,0.399,0.422
EDDI,LBSF,1452,1452,0.812,0.637
EDDI,LBSF,1607,1607,0.867,0.368
EDDI,LBSF,1463,1463,0.809,0.579
