Origin,Destination,N_flights,Flight_time,Wait_time,Total_time
SBBR,UMMS,2,1752,435,2187
SBBR,UMMS,1,1200,166,1366
SBBR,UMMS,2,1748,309,2057
SBBR,UMMS,2,1861,365,2226
SBBR,UMMS,2,1754,552,2306
SBBR,UMMS,2,1695,298,1993
SBBR,UMMS,2,1748,650,2398
SBBR,UMMS,1,1212,178,1390
SBBR,UMMS,2,1758,501,2259
SBBR,UMMS,1,1212,226,1438
SBBR,UMMS,2,1758,385,2143
SBBR,UMMS,2,1749,378,2127
SBBR,UMMS,2,1758,536,2294
SBBR,UMMS,1,1212,448,1660
SBBR,UMMS,2,1698,610,2308
SBBR,UMMS,2,1754,423,2177
SBBR,UMMS,2,1750,246,1996
SBBR,UMMS,2,1746,290,2036
SBBR,UMMS,2,1752,513,2265
SBBR,UMMS,1,1200,107,1307
SBBR,UMMS,2,1756,362,2118
SBBR,UMMS,2,1695,338,2033
SBBR,UMMS,1,1212,796,2008
SBBR,UMMS,2,1755,547,2302
SBBR,UMMS,2,1752,289,2041
SBBR,UMMS,2,1749,573,2322
SBBR,UMMS,1,1212,593,1805
SBBR,UMMS,1,1212,934,2146
SBBR,UMMS,2,1758,607,2365
SBBR,UMMS,1,1212,454,1666
SBBR,UMMS,2,1744,749,2493
SBBR,UMMS,1,1212,496,1708
SBBR,UMMS,2,1749,361,2110
SBBR,UMMS,2,1702,297,1999
SBBR,UMMS,2,1744,830,2574
SBBR,UMMS,2,1748,153,1901
SBBR,UMMS,1,1212,528,1740
SBBR,UMMS,3,2307,465,2772
SBBR,UMMS,1,1200,595,1795
SBBR,UMMS,2,1743,146,1889
SBBR,UMMS,2,1875,473,2348
SBBR,UMMS,2,1749,202,1951
SBBR,UMMS,2,1750,396,2146
SBBR,UMMS,2,1696,627,2323
SBBR,UMMS,2,1748,114,1862
SBBR,UMMS,2,1755,190,1945
SBBR,UMMS,2,1758,678,2436
SBBR,UMMS,2,1755,582,2337
SBBR,UMMS,1,1200,598,1798
SBBR,UMMS,1,1212,614,1826
SBBR,UMMS,1,1200,519,1719
SBBR,UMMS,1,1212,958,2170
SBBR,UMMS,2,1756,221,1977
SBBR,UMMS,2,1691,146,1837
SBBR,UMMS,2,1750,470,2220
SBBR,UMMS,2,1691,693,2384
SBBR,UMMS,2,1759,236,1995
SBBR,UMMS,2,1759,559,2318
SBBR,UMMS,2,1746,319,2065
SBBR,UMMS,2,1755,277,2032
SBBR,UMMS,3,2411,423,2834
SBBR,UMMS,1,1200,255,1455
SBBR,UMMS,1,1200,677,1877
SBBR,UMMS,2,1743,292,2035
SBBR,UMMS,2,1746,330,2076
SBBR,UMMS,1,1212,521,1733
SBBR,UMMS,2,1762,250,2012
SBBR,UMMS,2,1747,677,2424
SBBR,UMMS,2,1748,759,2507
SBBR,UMMS,2,1747,206,1953
SBBR,UMMS,1,1200,886,2086
SBBR,UMMS,2,1747,233,1980
SBBR,UMMS,2,1691,456,2147
SBBR,UMMS,1,1200,313,1513
SBBR,UMMS,1,1200,642,1842
SBBR,UMMS,1,1200,866,2066
SBBR,UMMS,2,1751,594,2345
SBBR,UMMS,1,1212,307,1519
SBBR,UMMS,1,1212,356,1568
SBBR,UMMS,2,1759,180,1939
SBBR,UMMS,1,1200,967,2167
SBBR,UMMS,1,1212,566,1778
SBBR,UMMS,2,1751,701,2452
SBBR,UMMS,1,1200,248,1448
SBBR,UMMS,2,1755,485,2240
SBBR,UMMS,2,1746,463,2209
SBBR,UMMS,2,1755,426,2181
SBBR,UMMS,2,1754,266,2020
SBBR,UMMS,1,1212,217,1429
SBBR,UMMS,2,1875,185,2060
SBBR,UMMS,1,1212,339,1551
SBBR,UMMS,2,1759,544,2303
SBBR,UMMS,2,1691,366,2057
SBBR,UMMS,1,1212,127,1339
SBBR,UMMS,1,1200,20,1220
SBBR,UMMS,2,1758,559,2317
SBBR,UMMS,1,1212,517,1729
SBBR,UMMS,1,1212,585,1797
SBBR,UMMS,2,1749,374,2123
SBBR,UMMS,2,1755,379,2134
SBBR,UMMS,2,1747,144,1891
SBBR,UMMS,2,1757,477,2234
SBBR,UMMS,2,1692,365,2057
SBBR,UMMS,3,2253,531,2784
SBBR,UMMS,1,1212,1060,2272
SBBR,UMMS,2,1752,468,2220
SBBR,UMMS,2,1766,385,2151
SBBR,UMMS,2,1755,407,2162
SBBR,UMMS,1,1212,665,1877
SBBR,UMMS,2,1868,274,2142
SBBR,UMMS,2,1764,559,2323
SBBR,UMMS,1,1200,763,1963
SBBR,UMMS,2,1743,422,2165
SBBR,UMMS,2,1819,464,2283
SBBR,UMMS,1,1200,115,1315
SBBR,UMMS,2,1759,589,2348
SBBR,UMMS,2,1761,695,2456
SBBR,UMMS,1,1212,615,1827
SBBR,UMMS,2,1766,391,2157
SBBR,UMMS,1,1212,482,1694
SBBR,UMMS,2,1695,440,2135
SBBR,UMMS,1,1212,712,1924
SBBR,UMMS,2,1741,502,2243
SBBR,UMMS,2,1761,661,2422
SBBR,UMMS,1,1212,553,1765
SBBR,UMMS,2,1751,994,2745
SBBR,UMMS,1,1212,664,1876
SBBR,UMMS,2,1758,451,2209
SBBR,UMMS,1,1200,431,1631
SBBR,UMMS,2,1698,194,1892
SBBR,UMMS,2,1749,553,2302
SBBR,UMMS,2,1698,399,2097
SBBR,UMMS,2,1756,408,2164
SBBR,UMMS,2,1755,283,2038
SBBR,UMMS,1,1212,534,1746
SBBR,UMMS,2,1695,296,1991
SBBR,UMMS,1,1212,318,1530
SBBR,UMMS,2,1751,586,2337
SBBR,UMMS,2,1762,674,2436
SBBR,UMMS,2,1757,542,2299
SBBR,UMMS,2,1747,314,2061
SBBR,UMMS,2,1744,643,2387
SBBR,UMMS,2,1754,302,2056
SBBR,UMMS,2,1755,530,2285
SBBR,UMMS,1,1212,338,1550
SBBR,UMMS,2,1749,459,2208
