Origin,Destination,Total_time1,Total_time2,Exec_time1,Exec_time2
BIKF,SVMI,2582,2582,1.528,0.967
BIKF,SVMI,2534,2534,1.743,0.780
BIKF,SVMI,2528,2528,0.869,0.731
BIKF,SVMI,2307,2307,0.916,0.557
BIKF,SVMI,2740,2740,2.117,0.773
BIKF,SVMI,2931,2931,0.980,0.488
BIKF,SVMI,2502,2502,0.895,0.460
BIKF,SVMI,2139,2139,1.200,0.457
BIKF,SVMI,2102,2102,2.047,0.692
BIKF,SVMI,2786,2786,0.934,0.406
BIKF,SVMI,2515,2515,0.913,0.754
BIKF,SVMI,2064,2064,0.963,0.666
BIKF,SVMI,2458,2458,1.788,0.587
BIKF,SVMI,2232,2232,1.505,0.836
BIKF,SVMI,2202,2202,1.573,0.541
BIKF,SVMI,2287,2287,3.105,0.759
BIKF,SVMI,2288,2288,1.637,0.811
BIKF,SVMI,2183,2183,2.176,1.190
BIKF,SVMI,2057,2057,2.347,0.947
BIKF,SVMI,2332,2332,2.126,0.723
BIKF,SVMI,2251,2251,1.952,0.835
BIKF,SVMI,2352,2352,1.586,0.790
BIKF,SVMI,2616,2616,2.001,1.440
BIKF,SVMI,2151,2151,1.804,0.826
BIKF,SVMI,2177,2177,1.495,0.829
BIKF,SVMI,2208,2208,1.467,0.892
BIKF,SVMI,2268,2268,2.141,1.627
BIKF,SVMI,2142,2142,1.555,0.781
BIKF,SVMI,2035,2035,1.659,0.827
BIKF,SVMI,2190,2190,2.190,0.850
BIKF,SVMI,2308,2308,1.567,0.745
BIKF,SVMI,2330,2330,1.157,0.572
BIKF,SVMI,2465,2465,2.219,0.765
BIKF,SVMI,2871,2871,1.571,0.719
BIKF,SVMI,2409,2409,1.491,0.800
BIKF,SVMI,2285,2285,2.459,0.458
BIKF,SVMI,2143,2143,1.809,0.796
BIKF,SVMI,2303,2303,1.849,0.983
BIKF,SVMI,2049,2049,2.284,1.321
BIKF,SVMI,1937,1937,1.560,0.868
BIKF,SVMI,2280,2280,0.788,0.441
BIKF,SVMI,2528,2528,1.515,1.345
BIKF,SVMI,3222,3222,1.136,0.518
BIKF,SVMI,2153,2153,0.856,0.498
BIKF,SVMI,2621,2621,1.359,0.823
BIKF,SVMI,1975,1975,2.707,0.755
BIKF,SVMI,2305,2305,1.051,0.483
BIKF,SVMI,2304,2304,1.715,0.806
BIKF,SVMI,2621,2621,2.504,1.154
BIKF,SVMI,2300,2300,1.134,0.448
BIKF,SVMI,2453,2453,1.720,0.767
